Hero Name,Abilities,Character Description
Alchemist,"Acid Spray (AOE damage over time), Unstable Concoction (stun that grows stronger), Greevil's Greed (bonus gold), Chemical Rage (transform for regen/speed)",Greedy carry who farms extremely fast and transitions into a powerful fighter with high attack speed and regeneration
Axe,"Berserker's Call (taunt enemies), Battle Hunger (damage over time/slow), Counter Helix (spin damage when attacked), Culling Blade (execute low HP enemies)",Tanky initiator who forces enemies to attack him and punishes them with spinning counter-attacks
Bristleback,"Viscous Nasal Goo (armor reduction stacks), Quill Spray (damage based on stacks), Bristleback (reduced back damage), Warpath (damage per cast)","Durable tank who becomes harder to kill the more you attack him, dealing escalating damage"
Centaur Warrunner,"Hoof Stomp (AOE stun), Double Edge (nuke that damages self), Retaliate (return damage), Stampede (team speed boost)",Strong initiator with high strength who leads charges and punishes attackers
Chaos Knight,"Chaos Bolt (random stun/damage), Reality Rift (pull and armor reduction), Chaos Strike (critical), Phantasm (create illusions)",Reality-bending carry who summons powerful illusions to overwhelm enemies
Clockwerk,"Battery Assault (mini-stuns), Power Cogs (trap/mana burn), Rocket Flare (global vision/damage), Hookshot (long range initiation)",Aggressive initiator who traps enemies in cogs and hooks onto targets from across the map
Dawnbreaker,"Starbreaker (swing hammer AOE), Celestial Hammer (throw/pull), Luminosity (heal on attacks), Solar Guardian (global teleport/heal)",Cosmic warrior who heals allies and brings radiant justice with her celestial hammer
Doom,"Devour (eat creeps for gold/abilities), Scorched Earth (AOE damage/heal), Infernal Blade (% HP damage), Doom (silence all abilities)",Demon who devours creeps to gain their powers and dooms enemies into helplessness
Dragon Knight,"Breathe Fire (cone damage/attack reduction), Dragon Tail (stun), Dragon Blood (regen/armor), Elder Dragon Form (ranged/splash attacks)",Durable knight who transforms into a powerful dragon with devastating ranged attacks
Earth Spirit,"Boulder Smash (kick stone/stun), Rolling Boulder (roll/stun), Geomagnetic Grip (pull stone/silence), Magnetize (link enemies with stones)",Highly mobile and skillful hero who manipulates stone remnants to control teamfights
Earthshaker,"Fissure (line stun/block), Enchant Totem (empower attack), Aftershock (passive stun on spells), Echo Slam (massive AOE vs grouped enemies)",Devastating initiator whose ultimate becomes stronger the more enemies cluster together
Elder Titan,"Echo Stomp (channeled sleep), Astral Spirit (vision/stats), Natural Order (aura removes armor/magic resist), Earth Splitter (% HP damage line)",Ancient titan who weakens enemy defenses and splits the earth beneath them
Huskar,"Inner Fire (disarm), Burning Spear (stacking DOT), Berserker's Blood (attack speed/magic resist at low HP), Life Break (leap/% HP damage)","Berserker who becomes deadlier the closer he is to death, leaping onto enemies"
Kunkka,"Torrent (delayed AOE stun), Tidebringer (cleave splash damage), X Marks the Spot (return enemy to position), Ghostship (AOE stun/buff)",Legendary admiral who summons torrents and crashes ghost ships into enemies
Largo,"Catchy Lick (pull/dispel allies or enemies), Frogstomp (toss froglings for AOE stun/damage), Croak of Genius (reduce ally mana cost/reverberate damage), Amphibian Rhapsody (strum songs: Bullbelly Blitz for damage buff, Hotfeet Hustle for speed buff, Island Elixir for healing)","Musical bard monk who strums songs to empower allies with damage, healing, or speed buffs and can dispel with his sticky tongue lick. His frogling disciples stomp rhythmically around him, spreading the joy of music"
Legion Commander,"Overwhelming Odds (nuke based on units), Press the Attack (heal/attack speed), Moment of Courage (counter-attack chance), Duel (force 1v1)",Fearless commander who challenges enemies to honorable duels and grows stronger from victories
Lifestealer,"Rage (magic immunity/lifesteal), Feast (% HP damage/heal), Open Wounds (slow/team lifesteal), Infest (hide in units)",Savage creature who feasts on enemies for health and can hide inside allies
Lycan,"Summon Wolves (summon units), Howl (buff team damage), Feral Impulse (aura attack/HP regen), Shapeshift (transform for speed/crit)",Primal shapeshifter who commands wolves and transforms to hunt down enemies
