id,action,turbotownDestinationID,appliedDate,endDate
10,observer,1,2024-01-27 15:11:18.155,2024-01-27 15:11:18.155
11,observer,1,2024-01-28 04:27:52.877,2024-01-28 04:27:52.877
12,observer,1,2024-01-28 05:05:48.991,2024-01-28 05:05:48.991
13,observer,1,2024-01-28 17:11:38.147,2024-01-28 17:11:38.147
14,observer,3,2024-01-29 00:10:35.213,2024-01-29 00:10:35.213
15,observer,7,2024-01-29 01:32:59.208,2024-01-29 01:32:59.208
16,observer,3,2024-01-30 02:32:49.329,2024-01-30 02:32:49.329
17,observer,4,2024-01-30 03:13:16.335,2024-01-30 03:13:16.335
18,observer,7,2024-02-01 03:03:14.318,2024-02-01 03:03:14.318
19,observer,3,2024-02-03 03:13:40.874,2024-02-03 03:13:40.874
20,observer,1,2024-02-05 01:49:53.659,2024-02-05 01:49:53.659
21,observer,3,2024-02-05 02:21:44.12,2024-02-05 02:21:44.12
22,observer,3,2024-02-05 02:52:31.908,2024-02-05 02:52:31.908
23,observer,7,2024-02-05 03:27:30.405,2024-02-05 03:27:30.405
24,observer,3,2024-02-05 04:03:21.616,2024-02-05 04:03:21.616
