id,lastUpdated,label,value,turbotownID
3,2024-01-19 10:34:35.63,gold,1200,2
4,2024-01-19 10:34:35.63,xp,2200,2
11,2024-01-19 19:56:36.125,gold,400,6
12,2024-01-19 19:56:36.125,xp,1000,6
9,2024-01-19 19:34:36.382,gold,1100,5
10,2024-01-19 19:34:36.382,xp,2950,5
6,2024-01-19 13:20:32.917,xp,4650,3
7,2024-01-19 13:50:32.63,gold,1500,4
8,2024-01-19 13:50:32.63,xp,3750,4
5,2024-01-19 13:20:32.917,gold,300,3
13,2024-01-20 02:41:48.675,gold,1500,7
17,2024-01-28 02:10:02.91,gold,600,9
18,2024-01-28 02:10:02.91,xp,1250,9
14,2024-01-20 02:41:48.675,xp,5000,7
15,2024-01-20 03:00:15.187,gold,1900,8
16,2024-01-20 03:00:15.187,xp,4450,8
1,2024-01-19 06:18:29.468,gold,200,1
2,2024-01-19 06:18:29.468,xp,4050,1
