match_id,radiant_win,duration,pre_game_duration,start_time,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,first_blood_time,patch,radiant_score,dire_score,average_rank
7495984745,false,1388,60,1702991114,6,1828,3,63,13,53,29,41,44
5235449897,true,1454,60,1581298046,1974,0,63,0,3,43,23,13,
5268433546,false,1253,60,1583027114,0,1854,51,63,6,43,10,36,
5308052696,false,1825,60,1584900095,0,2038,3,63,146,44,14,35,
6282826820,false,1318,60,1637361316,0,2046,0,63,98,49,13,33,
6172380708,true,1443,60,1631145959,1958,390,63,51,63,49,32,25,
6017739453,false,1817,60,1622336490,0,1974,0,63,134,48,25,44,
5623962386,true,1329,60,1600654457,2047,4,63,19,5,46,31,15,
5421981758,true,1595,60,1589769958,1983,256,63,48,96,45,35,21,
5129704164,true,1447,60,1574816989,1974,4,63,3,112,42,42,17,
5166589314,false,1887,60,1577117291,0,1958,0,63,10,42,30,34,
6284155916,true,1182,60,1637427307,1982,384,63,48,85,49,33,12,
6009939119,true,1590,60,1621902165,1982,0,63,0,99,48,31,25,
5992907583,false,1668,60,1620949153,0,1798,0,51,4,48,30,33,
5369283728,true,926,60,1587435476,2047,0,63,0,73,45,30,9,
7484721905,true,1426,60,1702385540,1982,0,63,0,120,53,29,13,45
5330619952,true,1348,60,1585875946,1980,0,63,0,54,44,36,16,
5198662540,true,1393,60,1579149368,1975,0,63,0,64,42,34,20,
7484721943,false,3107,90,1702385554,6,1924,7,63,137,53,60,59,24
5233653512,true,1645,60,1581209645,1926,4,63,19,67,43,33,20,
5266586172,false,1664,60,1582948699,0,2038,0,63,156,43,21,38,
6369311954,false,1729,60,1641784109,0,1974,0,63,70,49,23,36,
6285978008,true,1686,60,1637513018,1588,256,63,48,168,49,28,11,
5425331560,true,1731,60,1589938122,1798,0,51,0,172,45,20,33,
4824224242,true,1135,60,1560052786,1975,0,63,0,51,41,29,13,
5028149214,true,1490,60,1568781230,1959,0,63,0,129,41,43,19,
6307591837,true,1408,60,1638754176,1983,0,63,0,12,49,27,18,
4430102606,false,1866,60,1550365795,0,1958,0,63,113,40,19,31,
4827156589,true,1725,60,1560134268,1846,0,63,0,45,41,31,21,
6311694440,true,2285,60,1639006280,1540,455,51,51,0,49,39,36,
6282794063,true,1443,60,1637359176,1974,256,63,48,84,49,28,18,
5520124283,false,1265,60,1595010188,390,1972,55,63,123,46,21,25,
5322568260,false,1547,60,1585528465,384,1830,48,63,86,44,12,34,
6549823085,true,1280,60,1651409030,2047,0,63,0,8,50,34,15,
6311780052,false,1823,60,1639015496,6,1956,3,63,141,49,22,54,
6285901972,true,1625,60,1637510298,1828,0,63,0,7,49,24,19,
6179712269,false,1407,60,1631583199,384,2047,48,63,90,49,18,34,
6703137293,true,2083,60,1660273773,1926,256,63,48,110,50,43,29,
6703173517,false,1248,60,1660277133,384,2038,48,63,110,50,10,32,
6703190260,true,1766,60,1660278678,1568,384,63,48,98,50,43,34,
6705493508,false,2020,60,1660402093,0,1982,0,63,7,50,33,44,
6705577453,true,1446,60,1660405136,2047,0,63,0,79,50,31,20,
6705627600,true,1703,60,1660407063,1958,0,63,0,78,50,42,29,
6705829691,false,1859,60,1660416024,384,1798,48,51,78,50,39,42,
6705876700,true,1489,60,1660418211,1956,390,63,51,62,50,38,22,
6705911980,true,2221,60,1660420054,1958,0,63,16,174,50,35,27,
6707158357,true,1164,60,1660488182,1982,390,63,51,219,50,26,19,
6707198331,true,2194,60,1660489593,1796,0,63,0,148,50,34,27,
6707626541,false,1685,60,1660509422,0,1974,0,63,121,50,17,38,
6707718598,false,1185,60,1660515989,256,1982,48,63,172,50,13,30,
6710748844,false,2037,60,1660695313,0,1846,0,63,192,50,27,42,
6710770222,false,1532,60,1660697571,0,1974,0,63,15,50,16,33,
6710788581,true,1168,60,1660699439,2039,6,63,3,206,50,31,9,
6710813864,false,1222,60,1660701909,454,1846,51,63,24,50,16,31,
6712086624,false,1453,60,1660769855,0,2038,0,63,46,50,20,40,
6712116316,true,1158,60,1660771770,1983,256,63,48,37,50,35,7,
6713600964,false,1471,60,1660858574,0,2022,0,63,19,50,23,41,
6713628098,false,1376,60,1660860558,0,1974,0,63,0,50,21,38,
6713661116,true,1649,60,1660863435,1828,391,63,51,68,50,24,29,
6713683265,false,2715,60,1660865584,4,454,3,51,0,50,40,46,
6714986878,true,1429,60,1660937518,1975,0,63,0,67,50,21,21,
6715363402,false,1298,60,1660965107,0,2039,0,63,155,50,15,32,
6715387709,true,847,60,1660966956,1974,262,63,51,87,50,26,12,
6715402314,true,1128,60,1660968058,2046,4,63,3,146,50,31,7,
6715420628,true,1262,60,1660969416,2038,0,63,0,72,50,34,13,
6716685783,false,1696,60,1661027276,454,1568,51,61,241,50,30,29,
6447078100,false,1170,60,1645666010,4,1983,3,63,56,50,9,46,
6172368225,false,1286,60,1631144391,52,1958,15,63,87,49,19,37,
6716723104,false,1248,60,1661029312,6,1974,3,63,90,50,12,33,
6716749117,true,1518,60,1661030855,1926,260,63,51,114,50,38,13,
6717792643,true,1458,60,1661089725,2039,384,63,48,0,50,32,23,
6717857858,true,1144,60,1661091872,2046,6,63,3,80,50,35,13,
6718375621,false,1765,60,1661113476,390,1568,51,63,77,50,40,34,
6718411394,true,994,60,1661115481,1854,384,63,48,135,50,30,10,
6719827349,true,2185,60,1661198945,391,0,51,4,126,50,42,40,
6719873403,false,1484,60,1661201677,32,1972,12,63,184,50,15,21,
6719919895,true,1087,60,1661204823,1974,36,63,15,143,50,29,10,
6721508952,true,1395,60,1661303375,1982,256,63,48,56,50,35,32,
6721527379,true,1949,60,1661305255,1927,384,63,48,94,50,38,30,
6724410122,false,1723,60,1661462702,0,1974,0,63,55,51,23,49,
6724492428,true,1429,60,1661469374,1974,0,63,0,68,51,28,13,
