id,match_id,account_id,assists,average_rank,deaths,duration,game_mode,hero_id,kills,leaver_status,lobby_type,party_size,player_slot,radiant_win,skill,start_time,version
5449,7244379030,65110965,26,44,8,2616,23,42,9,0,0,1,1,true,,1689516132,
5434,7245134280,65110965,17,33,4,1590,23,64,18,0,0,5,1,true,,1689562426,21
5436,7245151671,65110965,3,33,4,1130,23,10,1,0,0,5,129,true,,1689564267,21
5430,7247675576,65110965,25,33,2,1651,23,123,11,0,0,5,1,true,,1689728565,
5431,7247692250,65110965,13,33,0,1649,23,35,20,0,0,5,1,true,,1689730504,
7588,5235449897,65110965,8,,4,1454,23,53,4,0,0,,128,true,1,1581298046,
7490,5268433546,65110965,14,,1,1253,23,35,11,0,0,,131,false,1,1583027114,
7451,5308052696,65110965,4,,5,1825,23,44,5,0,0,4,0,false,1,1584900095,21
5433,7247710542,65110965,12,34,5,1602,23,86,2,0,0,5,129,true,,1689732569,
5435,7247727788,65110965,16,34,1,1639,23,64,3,0,0,5,129,false,,1689734404,
5432,7247746173,65110965,14,35,4,2100,23,98,9,0,0,5,1,false,,1689736284,
5426,7250282515,65110965,19,43,0,1460,23,86,10,0,0,4,3,true,,1689905282,
5429,7250298549,65110965,17,34,8,2001,23,47,9,0,0,5,130,true,,1689907062,
5427,7250320024,65110965,8,42,5,1333,23,103,1,0,0,5,130,true,,1689909363,21
5425,7250372640,65110965,10,33,0,1161,23,17,7,0,0,2,131,false,,1689914885,
5428,7252352921,65110965,14,34,2,1167,23,12,6,0,0,4,2,true,,1690036375,
5418,7252391126,65110965,9,41,2,1708,23,138,6,0,0,4,1,true,,1690037874,
5413,7253054225,65110965,12,35,7,1601,23,53,8,0,0,3,128,true,,1690077983,
5422,7253093723,65110965,2,41,9,1069,23,112,3,0,0,4,129,true,,1690081471,
5416,7253108916,65110965,18,31,0,1101,23,86,8,0,0,5,128,false,,1690082749,
5412,7253131360,65110965,26,43,0,1134,23,52,9,0,0,4,129,false,,1690084618,
5423,7253148711,65110965,21,43,4,1506,23,40,3,0,0,3,129,false,,1690086042,
5414,7254211211,65110965,13,51,0,1232,23,98,5,0,0,1,131,false,,1690138428,
5410,7254241182,65110965,12,52,3,1643,23,128,9,1,0,1,2,false,,1690139997,
5411,7254477246,65110965,6,42,6,1377,23,56,5,0,0,5,4,false,,1690157293,
5415,7254491847,65110965,11,42,7,1732,23,13,4,0,0,5,4,false,,1690158993,
5420,7254511053,65110965,13,41,3,1806,23,21,15,0,0,5,131,false,,1690161249,
5424,7254531510,65110965,10,42,6,1540,23,60,4,0,0,4,130,true,,1690163579,
5417,7255810146,65110965,20,41,9,1811,23,84,5,0,0,4,4,false,,1690248901,
5419,7255828284,65110965,23,35,3,1757,23,78,5,0,0,5,3,true,,1690250971,
5406,7255847169,65110965,14,43,3,1654,23,34,5,0,0,5,131,true,,1690253036,
5409,7255865676,65110965,13,42,1,1496,23,18,13,0,0,5,131,false,,1690254986,
5421,7258331822,65110965,5,41,6,1018,23,113,3,0,0,5,130,true,,1690414886,
5408,7258343825,65110965,27,43,1,2183,23,86,4,0,0,5,130,false,,1690416299,
5407,7258364235,65110965,24,42,1,1432,23,87,3,0,0,5,130,false,,1690418737,
5401,7258392850,65110965,4,42,4,1221,23,8,5,0,0,5,131,true,,1690422095,
6480,6282826820,65110965,6,,6,1318,23,63,2,0,0,2,3,false,1,1637361316,
6624,6172380708,65110965,11,,4,1443,23,21,5,0,0,4,4,true,1,1631145959,21
6728,6017739453,65110965,27,,1,1817,23,22,13,0,0,4,130,false,1,1622336490,21
7018,5623962386,65110965,16,,3,1329,23,40,1,0,0,1,1,true,3,1600654457,
7284,5421981758,65110965,11,,5,1595,23,14,6,0,0,1,2,true,2,1589769958,21
7734,5129704164,65110965,4,,9,1447,23,128,4,0,0,,132,true,1,1574816989,
7708,5166589314,65110965,14,,6,1887,23,84,5,0,0,,1,false,3,1577117291,
5405,7258406098,65110965,19,42,5,1750,23,123,9,0,0,5,3,true,,1690423575,
5403,7258425487,65110965,15,41,1,1354,23,67,11,0,0,5,3,true,,1690425641,
5400,7258440539,65110965,16,41,8,2683,23,13,8,0,0,5,3,false,,1690427219,
5398,7259733360,65110965,16,41,3,1254,23,86,3,0,0,4,131,false,,1690510635,
5404,7259749271,65110965,27,45,6,2366,23,68,9,0,0,3,3,true,,1690512290,
